Date,Open,High,Low,Close,Adj Close,Volume
2007-07-01,48.200001,49.259998,45.730000,45.950001,36.090820,345381600
2007-08-01,46.049999,48.419998,42.919998,43.630001,34.268612,561399200
2007-09-01,43.509998,45.049999,42.090000,43.650002,34.457325,376154000
2007-10-01,43.830002,47.700001,43.270000,45.209999,35.688793,437028000
2007-11-01,44.700001,48.230000,42.500000,47.900002,37.812263,432340500
2007-12-01,47.709999,50.049999,46.869999,47.529999,37.520187,304526500
2008-01-01,47.410000,51.299999,43.110001,50.740002,40.234688,594609500
2008-02-01,50.900002,51.570000,47.840000,49.590000,39.322800,476630200
2008-03-01,49.430000,54.150002,48.639999,52.680000,41.773037,490180000
2008-04-01,53.189999,59.040001,52.810001,57.980000,46.194515,439232000
2008-05-01,58.200001,59.090000,55.049999,57.740002,46.003296,392991100
2008-06-01,57.410000,59.950001,55.849998,56.200001,44.965240,443348300
2008-07-01,56.000000,59.560001,55.340000,58.619999,46.901443,495577900
2008-08-01,58.750000,61.000000,56.810001,59.070000,47.261505,395839100
2008-09-01,59.900002,63.849998,57.740002,59.889999,48.110836,560153900
2008-10-01,59.509998,60.299999,47.400002,55.810001,44.833282,748361300
2008-11-01,56.759998,57.250000,50.200001,55.880001,44.889523,514798100
2008-12-01,55.369999,59.230000,52.220001,56.060001,45.034103,469411500
2009-01-01,55.980000,57.509998,46.919998,47.119999,38.016193,518547200
2009-02-01,46.570000,50.669998,46.250000,49.240002,39.726612,509033200
2009-03-01,48.810001,53.000000,47.000000,52.099998,42.034042,545295500
2009-04-01,51.380001,54.570000,47.639999,50.400002,40.891865,450522100
2009-05-01,50.500000,51.380001,48.119999,49.740002,40.356380,377048900
2009-06-01,50.180000,51.750000,48.020000,48.439999,39.513550,417698500
2009-07-01,48.549999,50.430000,47.349998,49.880001,40.688194,369068900
2009-08-01,50.220001,52.560001,48.750000,50.869999,41.495743,344252000
2009-09-01,50.810001,52.099998,48.730000,49.090000,40.263439,375673300
2009-10-01,49.070000,52.000000,48.730000,49.680000,40.747345,374017800
2009-11-01,49.810001,55.090000,49.520000,54.549999,44.741692,306009700
2009-12-01,54.849998,55.080002,52.310001,53.450001,43.839481,264681300
2010-01-01,53.740002,55.200001,52.509998,53.430000,44.044067,291591500
2010-02-01,53.619999,54.500000,52.660000,54.070000,44.571644,278505000
2010-03-01,54.040001,56.270000,53.150002,55.599998,45.832870,270764400
2010-04-01,55.750000,55.900002,53.520000,53.639999,44.466408,282951100
2010-05-01,53.880001,54.950001,50.000000,50.560001,41.913158,398119000
2010-06-01,50.799999,52.080002,48.009998,48.070000,40.080505,390548500
2010-07-01,48.099998,51.810001,47.770000,51.189999,42.681934,280340800
2010-08-01,51.549999,52.480000,50.000000,50.139999,41.806450,272559100
2010-09-01,50.490002,54.389999,50.459999,53.520000,44.885109,216284000
2010-10-01,53.599998,54.820000,52.930000,54.169998,45.430244,208445100
2010-11-01,54.049999,55.720001,53.430000,54.090000,45.363155,241802400
2010-12-01,54.419998,55.340000,53.139999,53.930000,45.228970,246182100
2011-01-01,54.230000,57.900002,53.540001,56.070000,47.283764,260656500
2011-02-01,56.369999,56.730000,51.520000,51.980000,43.834679,276839200
2011-03-01,52.160000,53.880001,50.970001,52.049999,43.893700,279247300
2011-04-01,52.250000,55.160000,51.919998,54.980000,46.689541,177992800
2011-05-01,55.080002,56.470001,54.189999,55.220001,46.893356,195699000
2011-06-01,54.980000,55.169998,51.790001,53.139999,45.425571,282564700
2011-07-01,53.189999,54.810001,52.669998,52.709999,45.057999,198103900
2011-08-01,52.790001,53.490002,48.310001,53.189999,45.468319,424527100
2011-09-01,53.200001,53.549999,49.939999,51.900002,44.686539,275866100
2011-10-01,51.880001,57.959999,51.630001,56.720001,48.836620,268820500
2011-11-01,55.820000,59.400002,55.680000,58.900002,50.713642,222113300
2011-12-01,58.639999,60.000000,57.419998,59.759998,51.454105,193606900
2012-01-01,59.970001,62.000000,58.369999,61.360001,53.161839,163577000
2012-02-01,61.790001,62.630001,58.209999,59.080002,51.186459,199314500
2012-03-01,59.360001,61.500000,58.639999,61.200001,53.023220,185822200
2012-04-01,61.080002,62.490002,57.180000,58.910000,51.380795,251787900
2012-05-01,58.950001,66.660004,58.270000,65.820000,57.407646,247098000
2012-06-01,65.430000,69.720001,65.129997,69.720001,61.221825,229264800
2012-07-01,69.599998,75.239998,69.150002,74.430000,65.357704,210686500
2012-08-01,74.699997,74.959999,71.349998,72.599998,63.750771,163618500
2012-09-01,72.769997,75.190002,72.570000,73.800003,65.154968,121605000
2012-10-01,73.800003,77.599998,73.629997,75.019997,66.232071,144858200
2012-11-01,75.129997,75.160004,67.650002,72.019997,63.583500,193687500
2012-12-01,72.110001,72.699997,67.370003,68.230003,60.237465,198433700
2013-01-01,68.930000,70.440002,67.720001,69.949997,62.098656,152007900
2013-02-01,70.110001,71.959999,68.129997,70.779999,62.835499,205455800
2013-03-01,70.779999,75.110001,70.779999,74.830002,66.430939,151456500
2013-04-01,75.000000,79.500000,74.900002,77.720001,69.441696,165085800
2013-05-01,77.849998,79.959999,74.820000,74.839996,66.868439,162295100
2013-06-01,75.059998,76.870003,72.900002,74.489998,66.954926,162608600
2013-07-01,74.989998,78.690002,74.089996,77.940002,70.055946,113025400
2013-08-01,78.419998,79.000000,72.230003,72.980003,65.597687,133848900
2013-09-01,73.480003,76.730003,72.190002,73.959999,66.882217,124109700
2013-10-01,73.870003,77.629997,71.510002,76.750000,69.405220,150995900
2013-11-01,76.970001,81.349998,76.589996,81.010002,73.257561,113143600
2013-12-01,80.889999,81.370003,76.809998,78.690002,71.159569,117743800
