Date,Open,High,Low,Close,Adj Close,Volume
2007-07-01,87.290001,92.320000,87.070000,88.919998,68.486504,78773800
2007-08-01,88.940002,91.510002,83.209999,90.989998,70.080818,95588700
2007-09-01,90.959999,93.980003,87.209999,93.580002,72.468880,65166600
2007-10-01,93.839996,97.000000,84.080002,86.360001,66.877663,98091500
2007-11-01,86.070000,86.279999,78.980003,83.260002,64.477005,99222200
2007-12-01,83.430000,88.699997,81.599998,84.320000,65.683777,70075800
2008-01-01,84.239998,84.760002,72.050003,79.650002,62.045937,110132700
2008-02-01,79.790001,81.650002,77.820000,78.400002,61.072220,67783000
2008-03-01,78.160004,81.680000,75.239998,79.150002,62.044983,84367000
2008-04-01,79.610001,83.220001,76.459999,76.900002,60.281223,87562900
2008-05-01,76.940002,79.889999,75.500000,77.559998,60.798576,76437900
2008-06-01,77.410004,77.610001,68.610001,69.589996,54.905064,98023400
2008-07-01,68.660004,72.769997,67.260002,70.389999,55.536236,111622500
2008-08-01,70.529999,74.680000,69.349998,71.599998,56.490902,78918100
2008-09-01,72.379997,74.709999,65.510002,68.309998,54.275726,139001400
2008-10-01,67.669998,68.309998,50.009998,64.300003,51.089584,226637300
2008-11-01,63.560001,67.470001,56.250000,66.930000,53.179245,149733100
2008-12-01,64.949997,66.250000,53.590000,57.540001,46.089088,145711300
2009-01-01,57.549999,59.810001,52.310001,53.790001,43.085373,103623600
2009-02-01,52.790001,54.660000,45.169998,45.459999,36.413109,130140500
2009-03-01,44.619999,51.130001,40.869999,49.720001,40.258305,157046900
2009-04-01,48.950001,58.980000,48.720001,57.599998,46.638752,116948000
2009-05-01,57.560001,60.230000,55.230000,57.099998,46.233894,89372800
2009-06-01,57.900002,61.459999,56.610001,60.099998,49.087303,96293200
2009-07-01,60.310001,71.389999,57.810001,70.519997,57.597950,108891900
2009-08-01,71.800003,73.500000,69.260002,72.099998,58.888424,87303100
2009-09-01,71.809998,76.000000,69.889999,73.800003,60.717098,72538600
